"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Utah,IHSP,2020,2020,17,30-39 yr,12.1,4.4
Utah,IHSP,2020,2020,18,30-39 yr,16,3.9
Utah,IHSP,2020,2020,19,30-39 yr,null,null
Utah,IHSP,2020,2020,20,30-39 yr,null,null
Utah,IHSP,2020,2020,21,30-39 yr,null,null
Utah,IHSP,2020,2020,22,30-39 yr,null,null
Utah,IHSP,2020,2020,23,30-39 yr,null,null
Utah,IHSP,2020,2020,24,30-39 yr,null,null
Utah,IHSP,2020,2020,25,30-39 yr,null,null
Utah,IHSP,2020,2020,26,30-39 yr,null,null
Utah,IHSP,2020,2020,27,30-39 yr,null,null
Utah,IHSP,2020,2020,28,30-39 yr,null,null
Utah,IHSP,2020,2020,29,30-39 yr,null,null
Utah,IHSP,2020,2020,30,30-39 yr,null,null
Utah,IHSP,2020,2020,31,30-39 yr,null,null
Utah,IHSP,2020,2020,32,30-39 yr,null,null
Utah,IHSP,2020,2020,33,30-39 yr,null,null
Utah,IHSP,2020,2020,34,30-39 yr,null,null
Utah,IHSP,2020,2020,35,30-39 yr,null,null
Utah,IHSP,2020,2020,36,30-39 yr,null,null
Utah,IHSP,2020,2020,37,30-39 yr,null,null
Utah,IHSP,2020,2020,38,30-39 yr,null,null
Utah,IHSP,2020,2020,39,30-39 yr,null,null
Utah,IHSP,2020,2020,10,40-49 yr,0,0
Utah,IHSP,2020,2020,11,40-49 yr,0.7,0.7
Utah,IHSP,2020,2020,12,40-49 yr,2,1.4
Utah,IHSP,2020,2020,13,40-49 yr,3.4,1.4
Utah,IHSP,2020,2020,14,40-49 yr,6.1,2.7
Utah,IHSP,2020,2020,15,40-49 yr,11.5,5.4
Utah,IHSP,2020,2020,16,40-49 yr,18.3,6.8
Utah,IHSP,2020,2020,17,40-49 yr,26.4,8.1
Utah,IHSP,2020,2020,18,40-49 yr,29.1,2.7
Utah,IHSP,2020,2020,19,40-49 yr,null,null
Utah,IHSP,2020,2020,20,40-49 yr,null,null
Utah,IHSP,2020,2020,21,40-49 yr,null,null
Utah,IHSP,2020,2020,22,40-49 yr,null,null
Utah,IHSP,2020,2020,23,40-49 yr,null,null
Utah,IHSP,2020,2020,24,40-49 yr,null,null
Utah,IHSP,2020,2020,25,40-49 yr,null,null
Utah,IHSP,2020,2020,26,40-49 yr,null,null
Utah,IHSP,2020,2020,27,40-49 yr,null,null
Utah,IHSP,2020,2020,28,40-49 yr,null,null
Utah,IHSP,2020,2020,29,40-49 yr,null,null
Utah,IHSP,2020,2020,30,40-49 yr,null,null
Utah,IHSP,2020,2020,31,40-49 yr,null,null
Utah,IHSP,2020,2020,32,40-49 yr,null,null
Utah,IHSP,2020,2020,33,40-49 yr,null,null
Utah,IHSP,2020,2020,34,40-49 yr,null,null
Utah,IHSP,2020,2020,35,40-49 yr,null,null
Utah,IHSP,2020,2020,36,40-49 yr,null,null
Utah,IHSP,2020,2020,37,40-49 yr,null,null
Utah,IHSP,2020,2020,38,40-49 yr,null,null
Utah,IHSP,2020,2020,39,40-49 yr,null,null

Disclaimer:
The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)
hospitalization data are preliminary and subject to change as more data become available. In
"particular, case counts and rates for recent hospital admissions are subject to lag. As data are"
"received each week, prior case counts and rates are updated accordingly.  COVID-NET conducts"
population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in
children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10
"Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four"
"Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT). Cumulative and"
"weekly unadjusted incidence rates (per 100,000 population) are calculated using the National Center"
for Health Statistics' (NCHS) vintage 2018 bridged-race postcensal population estimates for the
counties included in the surveillance catchment area. The rates provided are likely to be
underestimated as COVID-19-associated hospitalizations might be missed due to test availability and
provider or facility testing practices.
